"Pujol 2002, No. 20-3-3N"	
12980	
1.03	-58.108
1.04	-58.108
1.05	-58.086
1.06	-58.064
0.94	-55.233
0.98	-55.189
0.98	-55.211
0.98	-55.144
1.03	-55.189
0.81	-58.576
0.90	-58.598
0.87	-58.576
0.85	-58.598
0.84	-58.576
0.78	-60.159
0.71	-60.159
0.70	-60.136
0.69	-60.114
0.74	-60.092
0.56	-61.763
0.52	-61.808
0.54	-61.763
0.58	-61.785
0.57	-61.741
0.51	-60.025
0.53	-60.025
0.54	-60.025
0.53	-60.003
0.46	-60.003
0.55	-59.624
0.52	-59.601
0.52	-59.646
0.48	-59.646
0.48	-59.601
0.53	-58.532
0.48	-58.598
